src, tgt
8+0+7=, 15
0-5+3=, -2
5+0-6=, -1
5-3+3=, 5
2+5+2=, 9
5-0-9=, -4
6+4+3=, 13
1+2-4=, -1
9+4-4=, 9
5-5+5=, 5
6-5+5=, 6
7+0-3=, 4
2+6+4=, 12
0+3+3=, 6
0+9-3=, 6
7+1-7=, 1
3-9+2=, -4
0+6-1=, 5
7-0+5=, 12
1+3-7=, -3
5-0-4=, 1
8-0-1=, 7
0-4-7=, -11
5+6-9=, 2
8-9-0=, -1
8+1-8=, 1
6-1-7=, -2
6-6-8=, -8
7+3-0=, 10
4-1+2=, 5
1-9+0=, -8
2+4+8=, 14
9+6+5=, 20
7+0-5=, 2
7-7+4=, 4
1-7+8=, 2
8-9-4=, -5
6+0+9=, 15
7-1+0=, 6
3-7+0=, -4
8+9-6=, 11
8+5+8=, 21
7-9+7=, 5
9-5-1=, 3
1-0-3=, -2
0+2-8=, -6
9+4-5=, 8
3+2+0=, 5
6-8+6=, 4
2+2+7=, 11
8+7+5=, 20
3+0-5=, -2
1-9-7=, -15
3-5-8=, -10
3-0+6=, 9
2+6-2=, 6
8+3+4=, 15
1+6-0=, 7
3+7+6=, 16
4-2+0=, 2
5+6+8=, 19
5+0+8=, 13
5+7-1=, 11
1+2+5=, 8
5-6+1=, 0
6-7+0=, -1
8-6+3=, 5
0-7+2=, -5
8-7+8=, 9
2-0+4=, 6
7+0-5=, 2
9-3-1=, 5
9+2-1=, 10
4-3-0=, 1
8+3+1=, 12
1+0-8=, -7
6-7+6=, 5
2+1+6=, 9
5-5-0=, 0
2+2+4=, 8
4+4-6=, 2
8-8+4=, 4
2+7+9=, 18
3-8-0=, -5
5-5-3=, -3
1+2+7=, 10
2+4+4=, 10
7-2-0=, 5
6-8-3=, -5
7-7-9=, -9
8+3+3=, 14
2-4+2=, 0
3+2-0=, 5
7-7-7=, -7
2+7+3=, 12
1-3+9=, 7
3+7-1=, 9
4-3+9=, 10
7+8-5=, 10
8-8+1=, 1
9+8+8=, 25
6+4+2=, 12
9+4-1=, 12
2-9-5=, -12
2+9+5=, 16
4-0-4=, 0
9+9+1=, 19
6-9-7=, -10
7+5-1=, 11
3-1+3=, 5
5-6+7=, 6
2+4-2=, 4
2-9+2=, -5
3+6+4=, 13
0+0+8=, 8
3-4-8=, -9
8+4+6=, 18
6-7-8=, -9
6-2-2=, 2
0-4-9=, -13
7+5+6=, 18
9+1+5=, 15
3+6-0=, 9
0-9-3=, -12
2+0-0=, 2
9-1+9=, 17
4+2+1=, 7
8-6+5=, 7
0-5+2=, -3
6+9-1=, 14
7-4-5=, -2
5-2+4=, 7
0+1+6=, 7
2+3+6=, 11
9-3+6=, 12
5+8+2=, 15
8-4-6=, -2
8+1-5=, 4
8-0+9=, 17
1+7+1=, 9
5-0-3=, 2
3-4+5=, 4
3+9+7=, 19
1+1-0=, 2
7+0+2=, 9
4-1-7=, -4
4+5+9=, 18
9-3-1=, 5
3+5-6=, 2
2-6-1=, -5
4-2+0=, 2
0+3-4=, -1
4+9+4=, 17
1-6-1=, -6
8+9-8=, 9
1-8-0=, -7
3-5-5=, -7
6+0-5=, 1
8-6-2=, 0
2+0-6=, -4
1+0-0=, 1
8+1+0=, 9
4-8+0=, -4
0-5+6=, 1
9+4-9=, 4
6+9+1=, 16
6+3-0=, 9
1-2-3=, -4
5-3-0=, 2
6+4+1=, 11
3-7+6=, 2
3-1+6=, 8
6-0+5=, 11
5+8+7=, 20
9-4+9=, 14
6+8+9=, 23
7-2+4=, 9
0-5-8=, -13
6-8+7=, 5
9-3+8=, 14
1-5-2=, -6
2+1+4=, 7
0+7+5=, 12
4+7-8=, 3
5-0+9=, 14
2-9-9=, -16
8+4+4=, 16
6-5+7=, 8
5+7-9=, 3
6-2+5=, 9
2-0-4=, -2
2-7-8=, -13
6-9-6=, -9
8-8+4=, 4
1+0+3=, 4
1+6-3=, 4
2-4+0=, -2
8+9-7=, 10
4+1+9=, 14
5+6+1=, 12
9+2+0=, 11
1+4-6=, -1
8+4+4=, 16
3+8-6=, 5
9-1-7=, 1
0-3-0=, -3
1-9-9=, -17
9+4-6=, 7
4-8-9=, -13
3+1-9=, -5
6+3+0=, 9
5+6+0=, 11
2-6-2=, -6
7-1-8=, -2
1-1-6=, -6
7-1-9=, -3
1-3-6=, -8
7-4+9=, 12
9-1+0=, 8
8-1+7=, 14
7-0+8=, 15
2+3+0=, 5
5-2+5=, 8
5+0+3=, 8
6-9+4=, 1
3-2-1=, 0
0-7-3=, -10
0+6+8=, 14
9-4-5=, 0
6+5+4=, 15
3-9+3=, -3
5+4-4=, 5
5-5-0=, 0
1+7-0=, 8
4+9+6=, 19
8-7+8=, 9
1+2+8=, 11
8-9+2=, 1
7+4+0=, 11
0-2-7=, -9
6-7+0=, -1
5+5-6=, 4
2-1+7=, 8
8+3-5=, 6
9-5+7=, 11
5-0+0=, 5
4-0+8=, 12
8+2-5=, 5
0-1+2=, 1
8+7+0=, 15
4+0-6=, -2
1-5-4=, -8
0+0+3=, 3
9+9+6=, 24
4+8+7=, 19
9+8+1=, 18
2-9+6=, -1
0-3-4=, -7
3+7-3=, 7
2-8-4=, -10
6+0-9=, -3
6-2+8=, 12
3-7-9=, -13
5+9-8=, 6
8+0-1=, 7
8-5+2=, 5
1+9+7=, 17
1+4+7=, 12
3-2+4=, 5
0-3-5=, -8
9-9+2=, 2
8-7+4=, 5
9+3+2=, 14
2+3+4=, 9
4-3+8=, 9
5-6+6=, 5
3+2-8=, -3
7-6-9=, -8
2+4-2=, 4
8-1+2=, 9
5-8-3=, -6
8-6+4=, 6
7+2+9=, 18
7+2-7=, 2
4+5+6=, 15
7-5-3=, -1
1+5+0=, 6
2-0+2=, 4
9-0+5=, 14
8-1-9=, -2
8+0+6=, 14
8-3+1=, 6
2-4-2=, -4
8-8+2=, 2
2-6+7=, 3
9+7+9=, 25
6-1-5=, 0
4-2+0=, 2
0-6-4=, -10
5+8-8=, 5
0-0+1=, 1
9+1-8=, 2
7-8-1=, -2
3+1+6=, 10
4+2-6=, 0
0-9-0=, -9
8+7-7=, 8
7-2+2=, 7
1+0+5=, 6
0+9-2=, 7
0+6+3=, 9
6-9-4=, -7
0+6+6=, 12
8+9-9=, 8
9-5-1=, 3
3+3-5=, 1
8-3+1=, 6
6+3-2=, 7
3-1-1=, 1
0+1-7=, -6
0-8-7=, -15
4+4+0=, 8
7+1-9=, -1
4+1-0=, 5
5+5+2=, 12
2-9+1=, -6
1+2-4=, -1
0-1+5=, 4
9+7+7=, 23
0+6+8=, 14
0+4-8=, -4
0-5-7=, -12
1-2+7=, 6
7+0-9=, -2
0+5+4=, 9
7-3-6=, -2
3-5+8=, 6
1-3+4=, 2
4-7-5=, -8
6+4-7=, 3
8-4+6=, 10
6-5+6=, 7
8+9-6=, 11
5-4-3=, -2
0+2+5=, 7
8+4-2=, 10
4-7-1=, -4
9+7+9=, 25
3-6-6=, -9
7+9-9=, 7
0+7-6=, 1
7-6-9=, -8
6-3-3=, 0
6-0-0=, 6
1-8+7=, 0
8-4-6=, -2
0-2-5=, -7
4-0+2=, 6
2-6+6=, 2
3-0+3=, 6
8+5-3=, 10
8+4-9=, 3
1-4+8=, 5
6-1-2=, 3
6+0-4=, 2
6+2-4=, 4
4+2-8=, -2
3-6+3=, 0
7-5+2=, 4
1+0+8=, 9
2-7+3=, -2
6-3-2=, 1
3-8-7=, -12
4-4+8=, 8
9-5+2=, 6
8-9+3=, 2
4-9-4=, -9
5+1-4=, 2
0+7-6=, 1
5-7-5=, -7
4+8+9=, 21
7-0+8=, 15
9-3-8=, -2
2+0+5=, 7
2+6-3=, 5
2-4+2=, 0
0-8-4=, -12
1-7+1=, -5
5-0-3=, 2
4-4-4=, -4
2-4-5=, -7
2+1-0=, 3
5+1-9=, -3
5-0-2=, 3
9-2+5=, 12
7+3-1=, 9
6+5-8=, 3
3-4+7=, 6
0+6+3=, 9
0-5-4=, -9
9+8+9=, 26
0-8-3=, -11
5+7+3=, 15
2-6-6=, -10
7-3+0=, 4
7+0-3=, 4
1+2-0=, 3
7-2+4=, 9
5+6+3=, 14
6-3+1=, 4
7+2-7=, 2
4-5+3=, 2
4-7+1=, -2
1+0+2=, 3
0+1-9=, -8
8+1+0=, 9
8+8-2=, 14
3-2-4=, -3
9+5+7=, 21
7+2+4=, 13
8+6-5=, 9
8+7+5=, 20
0+4-8=, -4
3+9-6=, 6
5+4-0=, 9
8+7-7=, 8
0+3-5=, -2
4+2-8=, -2
5-2-2=, 1
3+6-9=, 0
8-6-1=, 1
6+9+3=, 18
8+9-5=, 12
6+0+1=, 7
7-6-5=, -4
0+2-5=, -3
0+8-2=, 6
9-8+6=, 7
8+6-8=, 6
2+1+2=, 5
8-2+7=, 13
9-4+9=, 14
3-8-5=, -10
8+6+5=, 19
4-5+8=, 7
8-9+3=, 2
0-6-9=, -15
9+8+6=, 23
7-5-8=, -6
8+7+4=, 19
9+3-7=, 5
6-8+4=, 2
7-4-1=, 2
6-8-5=, -7
6+5+8=, 19
8+0+7=, 15
2+9-8=, 3
4+0+8=, 12
0-1-7=, -8
4-7-3=, -6
9-6-4=, -1
9+4+9=, 22
9+4+3=, 16
9+1+8=, 18
7-9-2=, -4
8+2+2=, 12
7-1-2=, 4
0-0-9=, -9
3+7+1=, 11
9-2+5=, 12
4-2+3=, 5
7-9-9=, -11
3+7+2=, 12
5+6+0=, 11
9-5-5=, -1
2-6-9=, -13
7+8-5=, 10
8-5+5=, 8
4-2-7=, -5
9+3+5=, 17
3+4+3=, 10
5-6-2=, -3
6-1+9=, 14
4+2-5=, 1
6+4+6=, 16
7+9-6=, 10
6+9-9=, 6
8+5+5=, 18
6+0+6=, 12
3-9+2=, -4
4-8+4=, 0
1-1+1=, 1
3-5+1=, -1
8+6-4=, 10
3+6-3=, 6
3-2+8=, 9
9-8-6=, -5
9+7-8=, 8
6+8+2=, 16
9+8-1=, 16
3-0-4=, -1
3-8+0=, -5
1-0-6=, -5
5+7+9=, 21
1+3-3=, 1
8+1-4=, 5
4+5-8=, 1
6-6-7=, -7
7+2-0=, 9
3+5-5=, 3
9-3-0=, 6
1-8+9=, 2
7+0-7=, 0
7-7+6=, 6
2-9-8=, -15
4-7-1=, -4
4-7-9=, -12
8-0-0=, 8
8-5-5=, -2
9-2-7=, 0
3-8+8=, 3
1+8-5=, 4
6+3+9=, 18
5-0-3=, 2
8+1-8=, 1
6-3-9=, -6
9-9+0=, 0
6+2+0=, 8
3+7-3=, 7
6-5+4=, 5
4-7+2=, -1
6-5+6=, 7
5-0-1=, 4
8+6+8=, 22
1-2-2=, -3
3+7-6=, 4
8-3-5=, 0
1-9-8=, -16
2+4+6=, 12
0+6-8=, -2
1-4-8=, -11
6-9+8=, 5
0-8-0=, -8
1-8-3=, -10
9-9-8=, -8
3-6-8=, -11
3-3-0=, 0
3+8+7=, 18
8-0-2=, 6
0-3-0=, -3
8-9+1=, 0
3+2+3=, 8
5+9-1=, 13
4-3+5=, 6
7-4-5=, -2
0-4+6=, 2
9+4-7=, 6
7+1-7=, 1
1-5-6=, -10
8-6+0=, 2
3-3+0=, 0
9+8+1=, 18
1-8+2=, -5
1+6+7=, 14
8-0+1=, 9
9-8+9=, 10
4+2+2=, 8
7-5+5=, 7
1-6-8=, -13
9+0+7=, 16
4+8+0=, 12
7-3-5=, -1
8+9-9=, 8
6-9-6=, -9
7-1+5=, 11
7+6-8=, 5
4-0-3=, 1
1-2+6=, 5
1+6+4=, 11
9-7-4=, -2
1+9-5=, 5
3+4+3=, 10
5-3+1=, 3
5-5+9=, 9
3-8+9=, 4
4+8+2=, 14
1+1+9=, 11
9-6-0=, 3
1-4-4=, -7
8+3+7=, 18
8-4+5=, 9
9-4-1=, 4
6-6+8=, 8
2+9-9=, 2
8+0+4=, 12
3-2-9=, -8
7-3+4=, 8
4-4-1=, -1
3+2+1=, 6
7-0-3=, 4
8-4-8=, -4
6-2-9=, -5
4-3-4=, -3
3+2-7=, -2
5+1-9=, -3
9-6+7=, 10
3-4+4=, 3
4-0-9=, -5
3+6-9=, 0
4+4-6=, 2
5-0+0=, 5
4+9+5=, 18
5+3+6=, 14
5-1-2=, 2
7+2-8=, 1
5-8-0=, -3
0+6+8=, 14
5+7+3=, 15
9+1-0=, 10
1+2+2=, 5
4-7-9=, -12
2-4+8=, 6
4+5+8=, 17
9-5-0=, 4
4-5+7=, 6
4+2+4=, 10
1-6-2=, -7
5-0-2=, 3
7-0-9=, -2
2+4+1=, 7
2+9-4=, 7
7+6+1=, 14
6-2+9=, 13
1-5-2=, -6
6+7-6=, 7
8-9-8=, -9
5+3+8=, 16
8+0+1=, 9
6-8+5=, 3
8-0+8=, 16
8+7-2=, 13
5-2+0=, 3
6+5-7=, 4
8+6-7=, 7
5+1-1=, 5
9-0+5=, 14
3+4-5=, 2
4-2-3=, -1
3-3-6=, -6
4+0-1=, 3
7+4+6=, 17
7+3+4=, 14
5-3+6=, 8
5+0-7=, -2
4+8-0=, 12
8-3+5=, 10
1-1-2=, -2
6+0+4=, 10
7+4+8=, 19
8+5+4=, 17
7+5+0=, 12
9-4-3=, 2
4-6-9=, -11
0+6-7=, -1
8+9+9=, 26
2+4-4=, 2
0-2+3=, 1
5+9+0=, 14
9-6-9=, -6
4-7+8=, 5
9+1-9=, 1
9-5-1=, 3
0-9+7=, -2
2-3-2=, -3
4+6-1=, 9
0-3+6=, 3
2+9-3=, 8
2-9-0=, -7
1+7-7=, 1
9+3+2=, 14
8+0+3=, 11
4+2-8=, -2
0+4-8=, -4
0-0-3=, -3
7-2-0=, 5
4+9-6=, 7
2+3-1=, 4
0-9+5=, -4
6+2+1=, 9
0-9-6=, -15
2+2-3=, 1
6-0-8=, -2
4+2+6=, 12
8+9-0=, 17
2-0-1=, 1
9-0+5=, 14
4+1+1=, 6
0+7+6=, 13
6+4+4=, 14
7-8-4=, -5
2+4-8=, -2
0-5-5=, -10
4-6-9=, -11
8+9+5=, 22
1-3+6=, 4
8-5+5=, 8
4-2+5=, 7
1+2+4=, 7
9+9-7=, 11
9+9-6=, 12
8-5+7=, 10
7-4-4=, -1
2+4-2=, 4
4-1+0=, 3
0-2+8=, 6
7-6-2=, -1
1-0-6=, -5
2+1+9=, 12
0-5+5=, 0
4+0+3=, 7
8+0+2=, 10
1+4-6=, -1
3+0+8=, 11
4-9-1=, -6
2+8+1=, 11
0+7-0=, 7
6+3-4=, 5
2-4-4=, -6
1-9-6=, -14
8+5+1=, 14
1+6-9=, -2
5+7+3=, 15
2+8-8=, 2
0+0+9=, 9
4-3+8=, 9
1+1-9=, -7
8+4+5=, 17
7-4+4=, 7
0-3+6=, 3
9+0+2=, 11
9-8-1=, 0
8+8-4=, 12
8-1+0=, 7
8+3-5=, 6
6+9-7=, 8
8-7-7=, -6
8+8-9=, 7
7-8-9=, -10
2+0+0=, 2
7-2+3=, 8
0-0+7=, 7
9+2-5=, 6
1-8-5=, -12
6+3-8=, 1
4+5+8=, 17
4+7-5=, 6
6-2-4=, 0
2-9-3=, -10
6-5+8=, 9
7-7+7=, 7
1+5+2=, 8
6-7-1=, -2
5+3-0=, 8
7-8-0=, -1
4+0-6=, -2
8-8-2=, -2
2-6-5=, -9
3-0+4=, 7
1+3-2=, 2
0+4+5=, 9
0+1-9=, -8
4-4+5=, 5
8-0+8=, 16
3+4+9=, 16
8+6+5=, 19
4+3+0=, 7
1+3+8=, 12
0+0-8=, -8
8-5+9=, 12
1-0+5=, 6
3-3+1=, 1
8+5-8=, 5
2-1-5=, -4
7+4-4=, 7
1+3+0=, 4
1+0+1=, 2
7+0+1=, 8
2+4-1=, 5
7+2-1=, 8
6+8+2=, 16
2-9+6=, -1
6-2+2=, 6
5-6+4=, 3
5-1+8=, 12
1-5+2=, -2
5-8+1=, -2
4-9+6=, 1
9-5+8=, 12
4-0-5=, -1
6+1-0=, 7
5-5+3=, 3
0+1+0=, 1
8-6-5=, -3
2-4+5=, 3
3-5-0=, -2
6+3-5=, 4
0-2+2=, 0
1-0+6=, 7
0+3-0=, 3
1-6-0=, -5
9-1+2=, 10
4-3+0=, 1
5+4-3=, 6
8+1-6=, 3
6+0-4=, 2
0+2+9=, 11
1-0+5=, 6
9-7-6=, -4
6-2+0=, 4
7-1-0=, 6
4-3+2=, 3
6+8-1=, 13
2-5+3=, 0
5+9+8=, 22
9+5-4=, 10
6+7+0=, 13
6+8+9=, 23
1+6+4=, 11
7-4-8=, -5
8-6+2=, 4
3-7+7=, 3
4-3+9=, 10
3+4+3=, 10
9+5-0=, 14
0+2-8=, -6
3+7+7=, 17
0-3-1=, -4
5-3+4=, 6
7-9+8=, 6
2-9-3=, -10
7-4-3=, 0
6-1-9=, -4
9-6-0=, 3
6+1-7=, 0
5-7-6=, -8
5-2+2=, 5
2+3-7=, -2
7-3+2=, 6
1+0+4=, 5
1+0-9=, -8
4-6-0=, -2
3-6+2=, -1
8+0-1=, 7
0-1+2=, 1
5+1+7=, 13
1-4-0=, -3
4+6+2=, 12
3-8-0=, -5
6-1+0=, 5
7+6+9=, 22
5+1-4=, 2
0+7+4=, 11
5-6-5=, -6
0+3-1=, 2
6+6-6=, 6
2+2+1=, 5
9-5-3=, 1
8+7-4=, 11
0-9-9=, -18
8-6-0=, 2
1-8+8=, 1
4+9-6=, 7
7-5-4=, -2
2-5-5=, -8
8-3-2=, 3
5+2+7=, 14
2+4-8=, -2
7+3-6=, 4
9+9-3=, 15
8-7+3=, 4
4-3+0=, 1
3+8+4=, 15
7+3-6=, 4
2-4+0=, -2
2-7+8=, 3
0+4+4=, 8
5+2-2=, 5
3+4-4=, 3
1+4+8=, 13
7+9+8=, 24
7+8+2=, 17
0-5+5=, 0
7-1-2=, 4
9-8-6=, -5
1+7+6=, 14
8-4-6=, -2
5-2+5=, 8
3-0-1=, 2
7-5+0=, 2
8+9+0=, 17
5+7-8=, 4
4-8-3=, -7
5+7+5=, 17
4+7-4=, 7
8+1+6=, 15
8+7-4=, 11
2-4+8=, 6
5-3-2=, 0
8+4-2=, 10
5+0-5=, 0
1+8-7=, 2
5+9-5=, 9
2-3+1=, 0
6+3+4=, 13
8+0+3=, 11
3+0-5=, -2
3-3+4=, 4
4-0+3=, 7
8-4-3=, 1
9-3+3=, 9
5+4+8=, 17
1+6+0=, 7
3+7+2=, 12
4-9+0=, -5
4+5+3=, 12
1-3-5=, -7
3-4-4=, -5
3+9-2=, 10
0-1-1=, -2
5+2-4=, 3
5-4-0=, 1
1+7+1=, 9
8+4-3=, 9
8+4-9=, 3
7+6-4=, 9
6-2+4=, 8
1-2+7=, 6
8+7-6=, 9
9+2+2=, 13
1-3+5=, 3
0+8+0=, 8
4+5-1=, 8
4-6-1=, -3
4+4-1=, 7
3-3+5=, 5
9+4+1=, 14
6+6+5=, 17
8+8+9=, 25
5-1+4=, 8
5-7+3=, 1
0+7-6=, 1
1-2-0=, -1
9+0-8=, 1
9+2-1=, 10
6+1+7=, 14
5+9+6=, 20
8-1-8=, -1
1-8+4=, -3
8-0+9=, 17
5-4-3=, -2
2-5+8=, 5
1-8+9=, 2
8-8-5=, -5
7-6+0=, 1
4+7+8=, 19
5+2-0=, 7
4-4-2=, -2
5-2+4=, 7
6+4+4=, 14
4-2-4=, -2
5-3-9=, -7
4+4-7=, 1
7-4+3=, 6
3-8-0=, -5
6+0-4=, 2
2+1+2=, 5
5-6+4=, 3
2-1-9=, -8
7-8-5=, -6
9+7-6=, 10
7+9-0=, 16
4+8+9=, 21
3+8-8=, 3
8-2-7=, -1
1+8+5=, 14
1-9+2=, -6
1+6+6=, 13
3+1+1=, 5
8-2-1=, 5
8-5+8=, 11
3+5-4=, 4
6+0-7=, -1
2-3+4=, 3
8+3-7=, 4
0+5-8=, -3
1-7-4=, -10
6+1+4=, 11
3-5+6=, 4
9+7-8=, 8
1+6-4=, 3
4+4+7=, 15
3+1+7=, 11
0-5-7=, -12
6-6-0=, 0
2+5-5=, 2
9+3-1=, 11
9-0-0=, 9
0+7+8=, 15
4-4-2=, -2
9+3-6=, 6
9-4-1=, 4
1+3-9=, -5
7+4+7=, 18
0-7-6=, -13
9+6+0=, 15
4-4-1=, -1
8+8+1=, 17
6+1+3=, 10
7+6-8=, 5
1+2-8=, -5
6+4-3=, 7
5+0-9=, -4
9+1+8=, 18
1+7+2=, 10
9-8+1=, 2
0+8-8=, 0
5-4-4=, -3
3-9+8=, 2
5+4+6=, 15
3+5-3=, 5
7+5+0=, 12
0-2+1=, -1
0-7-5=, -12
6-6-9=, -9
5+9+3=, 17
9-6-1=, 2
6-0+3=, 9
6+9+0=, 15
7-8-2=, -3
4-6+5=, 3
1-4-9=, -12
1+4-5=, 0
8+0-2=, 6
8+1+9=, 18
7+2+3=, 12
7-6+8=, 9
2+7+9=, 18
3+1-3=, 1
0-1+3=, 2
3+6-6=, 3
8-6+5=, 7
6-1+7=, 12
1-4-0=, -3
1+3-3=, 1
1+1-1=, 1
0-7+7=, 0
5+0-5=, 0
3-9+0=, -6
5+0+1=, 6
1-1+9=, 9
1-4-0=, -3
3-9+8=, 2
3-5+3=, 1
9+3-8=, 4
7-3-8=, -4
7-7-0=, 0
6+1+4=, 11
1+5-9=, -3
4+2+9=, 15
8+6-6=, 8
0+9-6=, 3
0+7+7=, 14
1+7-7=, 1
9+4+9=, 22
8+0-8=, 0
3+1+1=, 5
8+2+0=, 10
5-5+9=, 9
2+9-0=, 11
2+8-1=, 9
8+5-2=, 11
9+4-2=, 11
1-6-8=, -13
9-1-8=, 0
7+9+4=, 20
2-5-8=, -11
9-3+5=, 11
1-7-1=, -7
4+2+7=, 13
0+0-2=, -2
6-1-4=, 1
0-0+9=, 9
1-9+8=, 0
4-9+4=, -1
3+0-5=, -2
4+3+1=, 8
6-9-5=, -8
1-5+5=, 1
9-9+8=, 8
3-7-2=, -6
5-7-9=, -11
0-9-3=, -12
4-2-9=, -7
6-6+5=, 5
6+5-3=, 8
8-6+4=, 6
5+9+8=, 22
0+6+0=, 6
7+1+6=, 14
9+6-0=, 15
9+8-6=, 11
1-4-5=, -8
4-8-0=, -4
9+5-9=, 5
6+5-3=, 8
5-3+3=, 5
9-3-1=, 5
8+8+8=, 24
4+7+1=, 12
9+0+9=, 18
6-3-8=, -5
2+8-4=, 6
5-3+5=, 7
4+8+8=, 20
1+3+8=, 12
5-8+8=, 5
4+1-5=, 0
3+7+3=, 13
3-0+9=, 12
2+5+2=, 9
4+8+8=, 20
8+3-8=, 3
5+5-1=, 9
7-9+7=, 5
6-1+0=, 5
5+9-5=, 9
7-8-8=, -9
9+4+0=, 13
1+6-9=, -2
9-1+8=, 16
8-7-9=, -8
0+7-6=, 1
2+9+4=, 15
3-7-4=, -8
5+7-9=, 3
5-7+5=, 3
1+7+3=, 11
5-6+3=, 2
0-7-7=, -14
2+0-7=, -5
8-4-7=, -3
0+8-3=, 5
1+9+8=, 18
0+5+0=, 5
4-1+7=, 10
2+0+3=, 5
3-8+8=, 3
6+6+6=, 18
6-9+9=, 6
9-0-1=, 8
7-8+3=, 2
7-9+1=, -1
9-8+6=, 7
1-1+8=, 8
3+1-1=, 3
3-8+5=, 0
6-6+0=, 0
6-1-7=, -2
8+9-0=, 17
2-3+1=, 0
7+3+5=, 15
5-5-9=, -9
7-7+9=, 9
1+0+2=, 3
7+0+0=, 7
6+6-1=, 11
4+6+7=, 17
5+5-0=, 10
2+0+2=, 4
4-9-3=, -8
3+1-0=, 4
7-9+1=, -1
6+2+6=, 14
2-0+1=, 3
4-8+0=, -4
2-4+1=, -1
0+7-0=, 7
8+6+1=, 15
2+4+7=, 13
0-4+0=, -4
3+1-4=, 0
8+2+9=, 19
1+2+6=, 9
1+8-3=, 6
4+7+3=, 14
1+5+3=, 9
7+4-6=, 5
7+6-9=, 4
4-6-0=, -2
9+1-9=, 1
3+3-4=, 2
7-5-8=, -6
5-2-7=, -4
8-5-2=, 1
5+3+9=, 17
6+0+9=, 15
5-1-3=, 1
6+2-7=, 1
9-0-4=, 5
4+7-1=, 10
5-1-2=, 2
1-6-1=, -6
3+2+5=, 10
7+3+0=, 10
0-6+9=, 3
6-8+2=, 0
7-9-0=, -2
7+9+9=, 25
5-3-9=, -7
4-6-7=, -9
5-5-6=, -6
5-2-9=, -6
5+2-7=, 0
4-2-6=, -4
8-3+6=, 11
6+2+0=, 8
9+0+1=, 10
9-5-0=, 4
6-9+6=, 3
2-5-7=, -10
6-1-6=, -1
4+8-6=, 6
1-5+6=, 2
1-1+5=, 5
7+9+9=, 25
6+3+6=, 15
2+2+5=, 9
8+5-9=, 4
9+7+1=, 17
6-6-1=, -1
9-0-9=, 0
5+7+5=, 17
9-6-7=, -4
9-0-2=, 7
2+9-2=, 9
5-0-2=, 3
5+2+1=, 8
2+8-9=, 1
7+9+8=, 24
0+1-6=, -5
2+5-3=, 4
9-7+1=, 3
4-3-5=, -4
4-1+5=, 8
6-5+4=, 5
0-2+3=, 1
5-9-6=, -10
3-3+3=, 3
8-2+5=, 11
0-9+2=, -7
8-6-1=, 1
4-9+9=, 4
8-3+9=, 14
7+7-2=, 12
5-0-4=, 1
3+1-6=, -2
9-5-6=, -2
4+8-1=, 11
9+3-2=, 10
2-8-8=, -14
4+6-8=, 2
8+9-3=, 14
6-0-0=, 6
8-7+2=, 3
0-7+8=, 1
4+8-1=, 11
1+7+8=, 16
6-2+6=, 10
0-8-5=, -13
1-9+9=, 1
8+7+8=, 23
9+8+1=, 18
1-8-5=, -12
1+4-1=, 4
5+7-5=, 7
6+5+4=, 15
2-1-2=, -1
8-1+2=, 9
3+7-8=, 2
5+7-2=, 10
2+3+8=, 13
1+2+5=, 8
3+2-6=, -1
2-0+0=, 2
8-6-8=, -6
9+8+1=, 18
9-6-6=, -3
